Category: All categories

Month,Pink tax: (California),Pink tax: (New York),Pink tax: (Texas),Pink tax: (Illinois),Pink tax: (Virginia)
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,0
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,0,0,0,0,0
2015-02,0,0,0,0,0
2015-03,0,0,0,0,0
2015-04,0,0,0,0,0
2015-05,0,0,0,0,0
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,0
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,23,0
2016-01,9,0,0,0,0
2016-02,7,14,0,0,31
2016-03,6,14,0,0,0
2016-04,12,0,0,0,0
2016-05,9,13,10,0,0
2016-06,0,0,0,0,0
2016-07,7,0,0,0,0
2016-08,0,0,0,0,0
2016-09,8,0,0,0,0
2016-10,13,0,0,17,0
2016-11,11,16,0,0,0
2016-12,6,0,0,0,0
2017-01,24,36,26,57,50
2017-02,14,15,14,29,0
2017-03,26,14,12,23,0
2017-04,17,24,15,19,0
2017-05,18,16,10,20,0
2017-06,15,19,0,0,0
2017-07,7,12,0,0,0
2017-08,12,11,0,28,0
2017-09,8,0,0,0,0
2017-10,16,9,0,0,0
2017-11,16,17,8,18,0
2017-12,14,12,0,20,0
2018-01,20,15,17,0,0
2018-02,14,17,15,29,50
2018-03,20,16,15,24,0
2018-04,81,100,68,84,72
2018-05,27,17,11,18,0
2018-06,13,14,0,20,0
2018-07,32,41,35,41,46
2018-08,18,24,20,0,0
2018-09,11,11,15,0,0
2018-10,13,20,12,18,0
2018-11,23,26,20,49,44
2018-12,23,17,0,0,0
2019-01,21,20,13,0,0
2019-02,15,19,10,0,29
2019-03,20,24,17,0,26
2019-04,58,50,49,44,66
2019-05,32,26,14,23,0
2019-06,14,25,11,0,0
2019-07,12,15,12,0,0
2019-08,9,14,0,0,0
2019-09,17,13,22,0,0
2019-10,17,17,19,27,32
2019-11,26,15,12,17,0
2019-12,12,33,14,0,0
2020-01,26,22,15,20,0
2020-02,29,39,15,27,45
2020-03,18,11,13,14,0
2020-04,12,14,11,20,20
2020-05,11,10,10,14,0
2020-06,10,11,9,0,0
2020-07,5,0,10,0,22
2020-08,14,0,15,0,0
2020-09,26,35,20,19,21
2020-10,22,90,19,0,0
2020-11,27,14,18,16,0
2020-12,15,0,15,0,0
2021-01,12,14,9,0,0
2021-02,22,17,9,0,25
2021-03,24,13,19,20,0
2021-04,22,12,19,21,0
2021-05,14,0,9,0,0
2021-06,13,0,8,0,0
2021-07,8,0,0,0,0
2021-08,10,9,0,0,0
2021-09,14,11,14,0,0
2021-10,15,11,11,21,0
2021-11,22,20,23,0,0
2021-12,14,12,9,18,0
2022-01,16,0,0,0,0
2022-02,20,11,19,0,0
2022-03,22,25,16,19,27
2022-04,26,14,23,29,19
2022-05,24,19,22,34,22
2022-06,10,0,8,0,0
2022-07,13,9,15,19,0
2022-08,13,0,12,0,0
2022-09,45,13,18,0,0
2022-10,47,22,24,36,27
2022-11,28,15,17,19,27
2022-12,69,34,39,53,34
2023-01,53,24,25,32,26
